row,age,username,freq,services,netflix,amazon,Showtime,youtube,fuboTV,Crackle,Discovery+,CBS All Access,Rent or Buy,Apple TV+,hulu,Philo,FOX,PlutoTV,HBO MAX,Starz,Disney+,IMDb TV,FX,Tubi,NBC,Peacock
1204,28,racheal_ladd,1-DAILY,"{'Tubi': 1, 'Philo': 1}",,,,,,,,,,,,1.0,,,,,,,,1.0,,
1205,32,refugio_lindsey,2-FEW_TIMES_WEEK,"{'Disney+': 1, 'Crackle': 1}",,,,,,1.0,,,,,,,,,,,1.0,,,,,
1206,40,chong_kahn,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1207,22,daren_brookshire,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1208,70,branden_roth,3-FEWER_THREE_PER_MONTH,"{'PlutoTV': 1, 'netflix': 1, 'hulu': 1}",1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,
1209,18,sol_conger,1-DAILY,"{'youtube': 1, 'CBS All Access': 1, 'Starz': 1, 'hulu': 1}",,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,
1210,25,barb_cheek,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
1211,79,julian_isaacson,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'hulu': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
1212,34,rodney_mcdonnell,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1213,25,henry_judd,1-DAILY,"{'Showtime': 1, 'hulu': 1, 'youtube': 1}",,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
1214,26,kristi_kent,3-FEWER_THREE_PER_MONTH,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1215,36,mable_mcmullen,3-FEWER_THREE_PER_MONTH,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
1216,69,emery_townes,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1217,35,andria_tyree,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1218,25,candi_ramey,1-DAILY,"{'Peacock': 1, 'hulu': 1, 'Discovery+': 1}",,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0
1219,69,jackson_ojeda,3-FEWER_THREE_PER_MONTH,{'FOX': 1},,,,,,,,,,,,,1.0,,,,,,,,,
1220,75,tracy_goins,3-FEWER_THREE_PER_MONTH,{'Showtime': 1},,,1.0,,,,,,,,,,,,,,,,,,,
1222,35,gale_kimbrough,2-FEW_TIMES_WEEK,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
1223,33,natalie_elliot,3-FEWER_THREE_PER_MONTH,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
1224,67,gussie_villanueva,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1225,34,chloe_stuart,3-FEWER_THREE_PER_MONTH,{'Rent or Buy': 1},,,,,,,,,1.0,,,,,,,,,,,,,
1226,43,ignacio_collier,1-DAILY,{'CBS All Access': 1},,,,,,,,1.0,,,,,,,,,,,,,,
1227,71,moses_mcclure,2-FEW_TIMES_WEEK,"{'NBC': 1, 'youtube': 1, 'FX': 1}",,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,
1228,24,jamie_bock,2-FEW_TIMES_WEEK,"{'PlutoTV': 1, 'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,
1231,63,delmar_vanburen,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1232,52,chiquita_matthews,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'Showtime': 1}",,,1.0,1.0,,,,,,,,,,,,,,,,,,
1233,67,luz_hughey,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1234,42,cecilia_pritchett,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1235,47,nereida_peterson,3-FEWER_THREE_PER_MONTH,"{'Starz': 1, 'hulu': 1}",,,,,,,,,,,1.0,,,,,1.0,,,,,,
1236,21,vonda_duggan,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1237,23,tristan_malone,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1238,66,bertie_donald,3-FEWER_THREE_PER_MONTH,{'Showtime': 1},,,1.0,,,,,,,,,,,,,,,,,,,
1239,35,luke_dabbs,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1240,47,jonas_pannell,1-DAILY,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
1241,39,zenaida_jarrell,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1242,48,tamela_merchant,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1243,33,kasey_fenner,1-DAILY,"{'netflix': 1, 'youtube': 1, 'Apple TV+': 1}",1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
1246,59,alonzo_strother,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1247,24,bridgett_velasco,1-DAILY,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1248,54,billy_burkhart,2-FEW_TIMES_WEEK,{'Peacock': 1},,,,,,,,,,,,,,,,,,,,,,1.0
1249,51,winston_hargett,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1250,42,val_fournier,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'hulu': 1, 'PlutoTV': 1}",,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,
1251,52,dixie_styles,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1252,60,darleen_hampton,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Showtime': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
1253,28,morris_pomeroy,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'Discovery+': 1, 'Starz': 1}",,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,
1254,65,anastasia_bohannon,2-FEW_TIMES_WEEK,{'Starz': 1},,,,,,,,,,,,,,,,1.0,,,,,,
1256,47,margery_dunning,3-FEWER_THREE_PER_MONTH,"{'Disney+': 1, 'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1257,52,millie_comer,2-FEW_TIMES_WEEK,"{'youtube': 1, 'hulu': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
1258,64,jean_parrish,3-FEWER_THREE_PER_MONTH,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
1259,59,armando_rasmussen,1-DAILY,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1260,61,wilber_bloom,2-FEW_TIMES_WEEK,"{'Philo': 1, 'netflix': 1}",1.0,,,,,,,,,,,1.0,,,,,,,,,,
1261,54,alta_spaulding,3-FEWER_THREE_PER_MONTH,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1262,32,carl_nettles,1-DAILY,"{'netflix': 1, 'hulu': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
1264,36,ramiro_camarillo,1-DAILY,"{'netflix': 1, 'NBC': 1}",1.0,,,,,,,,,,,,,,,,,,,,1.0,
1267,25,richard_lieberman,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'FOX': 1}",,,,,,,,,,,,,1.0,,1.0,,,,,,,
1268,72,fidel_wesley,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1269,68,evan_baxley,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'Disney+': 1}",,,,,,,,,,,1.0,,,,,,1.0,,,,,
1270,30,concepcion_binder,1-DAILY,"{'Crackle': 1, 'hulu': 1, 'netflix': 1}",1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,
1271,28,felecia_christiansen,1-DAILY,"{'youtube': 1, 'hulu': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
1272,23,cruz_luis,1-DAILY,"{'Peacock': 1, 'youtube': 1}",,,,1.0,,,,,,,,,,,,,,,,,,1.0
1273,70,eusebio_felder,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1274,44,raleigh_hauser,1-DAILY,"{'netflix': 1, 'Showtime': 1, 'Disney+': 1}",1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,
1275,52,william_downing,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1276,60,ariel_earls,1-DAILY,"{'amazon': 1, 'netflix': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1277,66,ruben_keck,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Starz': 1}",1.0,,,,,,,,,,,,,,,1.0,,,,,,
1278,69,daron_barron,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'NBC': 1}",,1.0,,,,,,,,,,,,,,,,,,,1.0,
1279,29,lamar_avery,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'youtube': 1}",,,,1.0,,,,,,,,,,,1.0,,,,,,,
1280,78,essie_mcgriff,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1281,53,loraine_hays,2-FEW_TIMES_WEEK,"{'amazon': 1, 'youtube': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
1282,65,suzanne_haight,2-FEW_TIMES_WEEK,"{'Showtime': 1, 'netflix': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
1283,35,justin_halcomb,2-FEW_TIMES_WEEK,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
1284,19,adolfo_lemieux,3-FEWER_THREE_PER_MONTH,"{'Starz': 1, 'netflix': 1}",1.0,,,,,,,,,,,,,,,1.0,,,,,,
1285,44,deena_braswell,2-FEW_TIMES_WEEK,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1286,23,truman_owens,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
1287,79,elouise_avery,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'netflix': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1288,55,leah_barnhart,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1289,21,polly_metcalf,3-FEWER_THREE_PER_MONTH,"{'Peacock': 1, 'netflix': 1}",1.0,,,,,,,,,,,,,,,,,,,,,1.0
1290,51,theodora_blackwell,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1291,40,blanche_anaya,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1292,24,israel_carlin,1-DAILY,"{'netflix': 1, 'Tubi': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,
1293,31,kareem_titus,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'netflix': 1, 'FOX': 1}",1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,
1295,29,brenna_osborne,2-FEW_TIMES_WEEK,"{'Disney+': 1, 'PlutoTV': 1}",,,,,,,,,,,,,,1.0,,,1.0,,,,,
1296,29,pauline_mcmullen,1-DAILY,"{'Starz': 1, 'netflix': 1}",1.0,,,,,,,,,,,,,,,1.0,,,,,,
1297,33,mark_webster,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1298,59,ora_quillen,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1299,33,edward_lemay,1-DAILY,"{'youtube': 1, 'Starz': 1}",,,,1.0,,,,,,,,,,,,1.0,,,,,,
1301,57,melodie_delgadillo,3-FEWER_THREE_PER_MONTH,"{'Crackle': 1, 'IMDb TV': 1}",,,,,,1.0,,,,,,,,,,,,1.0,,,,
1303,26,pamala_hoy,1-DAILY,"{'netflix': 1, 'HBO MAX': 1}",1.0,,,,,,,,,,,,,,1.0,,,,,,,
1304,41,natasha_bui,1-DAILY,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
1305,34,lettie_allard,1-DAILY,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1306,78,socorro_elmore,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1307,26,joelle_mccormick,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1309,21,alejandro_wilcox,1-DAILY,"{'PlutoTV': 1, 'hulu': 1, 'fuboTV': 1, 'Tubi': 1}",,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,
1310,71,sierra_fuentes,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1311,37,aubrey_church,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Apple TV+': 1, 'amazon': 1}",,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,
1312,18,chasity_xiong,1-DAILY,"{'netflix': 1, 'Disney+': 1}",1.0,,,,,,,,,,,,,,,,1.0,,,,,
1313,40,jerome_hartley,3-FEWER_THREE_PER_MONTH,"{'Philo': 1, 'netflix': 1}",1.0,,,,,,,,,,,1.0,,,,,,,,,,
1314,71,francesca_matney,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1315,26,len_fink,3-FEWER_THREE_PER_MONTH,"{'Tubi': 1, 'netflix': 1, 'fuboTV': 1, 'youtube': 1}",1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,
1316,40,jamison_pantoja,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1317,36,emanuel_march,2-FEW_TIMES_WEEK,"{'amazon': 1, 'netflix': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1318,63,danny_john,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
1319,26,teresita_coles,1-DAILY,"{'netflix': 1, 'Tubi': 1, 'hulu': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,
1320,37,jannie_haggerty,2-FEW_TIMES_WEEK,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1321,49,efrain_ezell,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Apple TV+': 1}",,,,1.0,,,,,,1.0,,,,,,,,,,,,
1322,24,winona_harrell,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1323,74,roselyn_knott,3-FEWER_THREE_PER_MONTH,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1324,55,zella_goldman,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1325,49,rex_carlos,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1326,20,jonathon_ingraham,2-FEW_TIMES_WEEK,"{'fuboTV': 1, 'youtube': 1}",,,,1.0,1.0,,,,,,,,,,,,,,,,,
1327,57,carmela_gresham,1-DAILY,"{'netflix': 1, 'Starz': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,
1328,63,willian_treadway,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1329,66,leonardo_carl,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1330,54,bradley_pape,2-FEW_TIMES_WEEK,"{'CBS All Access': 1, 'netflix': 1}",1.0,,,,,,,1.0,,,,,,,,,,,,,,
1331,20,cristopher_kelly,1-DAILY,"{'amazon': 1, 'netflix': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1332,41,dona_burney,2-FEW_TIMES_WEEK,"{'youtube': 1, 'hulu': 1, 'CBS All Access': 1}",,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,
1333,55,freida_mcbride,2-FEW_TIMES_WEEK,{'Tubi': 1},,,,,,,,,,,,,,,,,,,,1.0,,
1336,31,douglas_acosta,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Disney+': 1, 'HBO MAX': 1}",1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,
1337,69,callie_tremblay,3-FEWER_THREE_PER_MONTH,"{'Discovery+': 1, 'Disney+': 1}",,,,,,,1.0,,,,,,,,,,1.0,,,,,
1338,18,michael_haggerty,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1339,48,weldon_billiot,1-DAILY,"{'CBS All Access': 1, 'netflix': 1}",1.0,,,,,,,1.0,,,,,,,,,,,,,,
1340,52,willard_fischer,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1341,20,leigh_meeks,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1342,21,jerald_loy,2-FEW_TIMES_WEEK,"{'youtube': 1, 'hulu': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
1343,63,albert_gold,3-FEWER_THREE_PER_MONTH,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1344,21,nathaniel_casteel,2-FEW_TIMES_WEEK,"{'Tubi': 1, 'hulu': 1}",,,,,,,,,,,1.0,,,,,,,,,1.0,,
1345,67,ira_mills,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1346,70,hassan_sexton,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1347,49,kerry_hatley,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'Starz': 1}",,,,1.0,,,,,,,,,,,,1.0,,,,,,
1348,40,ginny_jefferies,1-DAILY,"{'youtube': 1, 'HBO MAX': 1}",,,,1.0,,,,,,,,,,,1.0,,,,,,,
1349,39,vince_ball,1-DAILY,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1350,63,jewell_poland,3-FEWER_THREE_PER_MONTH,"{'Crackle': 1, 'FX': 1, 'Philo': 1}",,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,
1351,36,sheldon_romero,1-DAILY,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
1352,46,lauren_wolff,2-FEW_TIMES_WEEK,"{'netflix': 1, 'FX': 1}",1.0,,,,,,,,,,,,,,,,,,1.0,,,
1353,57,birdie_nutter,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1354,65,dora_latimer,1-DAILY,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1355,31,judi_scanlon,2-FEW_TIMES_WEEK,"{'Discovery+': 1, 'hulu': 1, 'youtube': 1, 'HBO MAX': 1}",,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,
1356,79,lamar_scully,2-FEW_TIMES_WEEK,"{'netflix': 1, 'hulu': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
1357,67,india_fowler,2-FEW_TIMES_WEEK,{'HBO MAX': 1},,,,,,,,,,,,,,,1.0,,,,,,,
1358,23,aron_kline,2-FEW_TIMES_WEEK,"{'youtube': 1, 'PlutoTV': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,
1359,22,alexander_wetzel,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1360,37,gregg_durr,1-DAILY,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1361,45,mallory_creed,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1362,55,vincenzo_abrams,3-FEWER_THREE_PER_MONTH,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
1363,31,williams_scully,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'Crackle': 1}",1.0,,,,,1.0,,,,,,,,,,,,,,,,
1364,20,samantha_herrin,3-FEWER_THREE_PER_MONTH,"{'HBO MAX': 1, 'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,
1365,40,jewel_pruitt,2-FEW_TIMES_WEEK,{'IMDb TV': 1},,,,,,,,,,,,,,,,,,1.0,,,,
1366,52,nicolas_burden,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1367,31,lela_sauer,2-FEW_TIMES_WEEK,"{'amazon': 1, 'youtube': 1, 'netflix': 1}",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
1368,49,connie_tang,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1369,37,sofia_burkholder,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1370,60,frederic_cota,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1371,77,debi_richey,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1372,27,allen_dukes,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'Philo': 1}",1.0,,,,,,,,,,,1.0,,,,,,,,,,
1373,39,vada_mouton,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1374,62,monroe_otoole,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1375,38,dixie_castro,2-FEW_TIMES_WEEK,{'PlutoTV': 1},,,,,,,,,,,,,,1.0,,,,,,,,
1376,62,allan_barnette,2-FEW_TIMES_WEEK,{'HBO MAX': 1},,,,,,,,,,,,,,,1.0,,,,,,,
1377,23,luisa_carlton,1-DAILY,"{'Philo': 1, 'youtube': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
1378,44,rolf_boston,1-DAILY,"{'fuboTV': 1, 'NBC': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,
1379,48,olin_craft,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1380,27,nanette_vanmeter,1-DAILY,"{'hulu': 1, 'fuboTV': 1, 'Apple TV+': 1, 'netflix': 1}",1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
1382,69,deanna_demarco,2-FEW_TIMES_WEEK,{'HBO MAX': 1},,,,,,,,,,,,,,,1.0,,,,,,,
1383,46,tad_grisham,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1384,29,amelia_forman,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1385,79,hellen_akers,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1386,56,clifford_mendez,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1388,27,shawn_brigham,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1389,28,ronald_mangum,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1390,44,chase_connors,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1391,77,fatima_chism,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1392,37,olive_getz,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'netflix': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1393,48,tanya_baldridge,1-DAILY,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
1394,63,selma_meacham,1-DAILY,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1395,35,dorene_ferro,1-DAILY,"{'CBS All Access': 1, 'youtube': 1}",,,,1.0,,,,1.0,,,,,,,,,,,,,,
1396,39,elvira_livingston,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Showtime': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
1397,74,selina_paz,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1400,19,johnathon_raley,1-DAILY,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
1401,25,barry_preston,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1402,39,shanon_thomas,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1403,18,latoya_jennings,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'IMDb TV': 1}",,,,1.0,,,,,,,,,,,,,,1.0,,,,
1404,20,alberta_godwin,1-DAILY,"{'PlutoTV': 1, 'youtube': 1}",,,,1.0,,,,,,,,,,1.0,,,,,,,,
1405,28,nan_deal,2-FEW_TIMES_WEEK,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
1406,48,jaime_daigle,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1407,75,cordell_timm,3-FEWER_THREE_PER_MONTH,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
1409,44,enid_ruby,1-DAILY,"{'netflix': 1, 'Discovery+': 1, 'HBO MAX': 1}",1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,
1410,40,ivette_jefferson,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
1411,49,osvaldo_byrd,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
1413,66,ila_hoff,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'Peacock': 1}",,1.0,,,,,,,,,,,,,,,,,,,,1.0
1414,25,jewell_everson,1-DAILY,"{'netflix': 1, 'Philo': 1}",1.0,,,,,,,,,,,1.0,,,,,,,,,,
1415,65,clay_alston,3-FEWER_THREE_PER_MONTH,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1416,38,cecilia_pinkston,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1417,34,casey_louis,1-DAILY,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
1418,46,ian_marcus,3-FEWER_THREE_PER_MONTH,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
1419,28,camilla_crane,1-DAILY,"{'netflix': 1, 'CBS All Access': 1}",1.0,,,,,,,1.0,,,,,,,,,,,,,,
